Game,Home,Away,Date,Time,Stadium
001,Manauara / AM,Independência / AC,19/04/2025,16:00,Ismael Benigno / Manaus
002,Humaitá / AC,Tuna Luso / PA,19/04/2025,20:00,Arena da Floresta / Rio Branco
003,Aguia de Maraba / PA,Sampaio / RR,20/04/2025,17:00,Zinho Oliveira / Maraba
004,Trem / AP,Manaus / AM,20/04/2025,16:00,Estádio Milton de Souza Correa / Macapa
005,Maranhão / MA,Altos / PI,19/04/2025,16:00,Governador João Castelo / Sao Luis
006,Parnahyba / PI,Imperatriz / MA,20/04/2025,16:00,Pedro Alelaf / Parnaiba
007,Tocantinópolis / TO,Maracana / CE,19/04/2025,16:00,João Ribeiro / Tocantinopolis
008,Iguatu / CE,Sampaio Corrêa / MA,19/04/2025,17:00,Antônio Moreno de Melo / Iguatu
009,Santa Cruz de Natal / RN,Sousa / PB,19/04/2025,15:30,José Nazareno do Nascimento / Goianinha
010,Treze / PB,Santa Cruz / PE,20/04/2025,16:00,Ernani Sátyro / Campina Grande
011,Central / PE,Ferroviário / CE,20/04/2025,16:00,Luíz José de Lacerda / Caruaru
012,Horizonte / CE,América F.c. / RN,19/04/2025,16:30,Horácio Domingos de Sousa / Horizonte
013,Jequié / BA,Sergipe / SE,20/04/2025,16:00,Waldomiro Borges / Jequie
014,Lagarto F.c. / SE,União Atlético Clube / TO,19/04/2025,15:00,Paulo Barreto de Menezes / Lagarto
015,Juazeirense / BA,ASA / AL,20/04/2025,16:00,Adauto Moraes / Juazeiro
016,Penedense / AL,Barcelona de Ilhéus / BA,20/04/2025,16:00,Estádio Doutor Alfredo Leahy / Penedo
017,Goiania / GO,Luverdense / MT,19/04/2025,16:00,Anibal Batista de Toledo / Aparecida de Goiania
018,Mixto / MT,Gazin Porto Velho / RO,20/04/2025,18:00,Eurico Gaspar Dutra / Cuiaba
019,Goianesia / GO,Ceilândia / DF,20/04/2025,15:30,Waldeir José de Oliveira / Goianesia
020,Capital / DF,Aparecidense / GO,19/04/2025,19:30,Jk Paranoá / Brasilia
022,Agua Santa / SP,Pouso Alegre / MG,19/04/2025,19:00,José Batista Pereira Fernandes / Diadema
023,Marica / RJ,Rio Branco A. C. / ES,19/04/2025,16:00,Estádio Municipal João Saldanha / Marica
024,Porto Vitória / ES,Nova Iguaçu / RJ,19/04/2025,15:30,Mário Monteiro / Cachoeiro de Itapemirim
025,Uberlândia / MG,Cascavel / PR,19/04/2025,17:00,Parque do Sabiá / Uberlandia
026,Leão do Vale - Cianorte / PR,Operário / MS,19/04/2025,15:00,Albino Turbay / Cianorte
027,Goiatuba / GO,Inter de Limeira / SP,20/04/2025,15:30,Divino Garcia Rosa / Goias
028,Monte Azul / SP,Itabirito / MG,19/04/2025,15:00,Otacília Patrício Arroyo / Monte Azul Paulista
029,São Luiz / RS,Azuriz / PR,19/04/2025,16:00,19 de Outubro / Ijui
030,Joinville / SC,Guarany / RS,19/04/2025,15:30,Arena Joinville / Joinville
031,Brasil / RS,Barra / SC,19/04/2025,20:00,Bento da Silva Freitas / Pelotas
032,Marcílio Dias / SC,São José / RS,19/04/2025,18:00,Hercílio Luz / Itajai
033,Sampaio / RR,Manauara / AM,26/04/2025,18:00,Flamarion Vasconcelos / Boa Vista
034,Tuna Luso / PA,Trem / AP,27/04/2025,15:00,Francisco Vasques / Belem
035,Independência / AC,Aguia de Maraba / PA,27/04/2025,17:00,Arena da Floresta / Rio Branco
036,Manaus / AM,Humaitá / AC,26/04/2025,16:30,Ismael Benigno / Manaus
037,Maracana / CE,Maranhão / MA,26/04/2025,16:00,Estádio Municipal Prefeito Almir Dutra / Maracanau
038,Imperatriz / MA,Iguatu / CE,26/04/2025,19:30,Frei Epifânio D´abadia / Imperatriz
039,Altos / PI,Tocantinópolis / TO,26/04/2025,16:00,Governador Alberto Silva / Teresina
040,Sampaio Corrêa / MA,Parnahyba / PI,26/04/2025,16:00,Governador João Castelo / Sao Luis
041,Ferroviário / CE,Santa Cruz de Natal / RN,26/04/2025,17:00,Presidente Vargas / Fortaleza
042,Santa Cruz / PE,Horizonte / CE,27/04/2025,17:00,José do Rêgo Maciel / Recife
043,Sousa / PB,Central / PE,27/04/2025,16:30,Antônio Mariz / Sousa
044,América F.c. / RN,Treze / PB,26/04/2025,16:30,Arena das Dunas / Natal
045,ASA / AL,Jequié / BA,26/04/2025,17:00,Coaracy da Mata Fonseca / Arapiraca
046,União Atlético Clube / TO,Penedense / AL,26/04/2025,17:00,Leôncio Miranda / Araguaina
047,Sergipe / SE,Juazeirense / BA,27/04/2025,17:00,Lourival Baptista / Aracaju
048,Barcelona de Ilhéus / BA,Lagarto F.c. / SE,26/04/2025,15:00,Agnaldo Bento / Porto Seguro
049,Ceilândia / DF,Goiania / GO,26/04/2025,16:30,Abadião / Ceilândia
050,Gazin Porto Velho / RO,Capital / DF,26/04/2025,17:00,Aluizio Pinheiro Ferreira / Porto Velho
051,Luverdense / MT,Goianesia / GO,26/04/2025,16:30,Passo das Emas / Lucas do Rio Verde
052,Aparecidense / GO,Mixto / MT,26/04/2025,16:00,Anibal Batista de Toledo / Aparecida de Goiania
053,Rio Branco A. C. / ES,Boavista / RJ,26/04/2025,15:30,Mário Monteiro / Cachoeiro de Itapemirim
054,Pouso Alegre / MG,Porto Vitória / ES,26/04/2025,17:00,Irmão Gino Maria Rossi / Pouso Alegre
055,Portuguesa / SP,Marica / RJ,26/04/2025,17:00,Oswaldo Teixeira Duarte / Sao Paulo
056,Nova Iguaçu / RJ,Agua Santa / SP,26/04/2025,16:00,Janio de Moraes / Nova Iguacu
057,Inter de Limeira / SP,Uberlândia / MG,26/04/2025,17:00,Major José Levy Sobrinho / Limeira
058,Operário / MS,Monte Azul / SP,26/04/2025,19:00,Jacques da Luz / Campo Grande
059,Cascavel / PR,Goiatuba / GO,26/04/2025,17:00,Arnaldo Busatto / Cascavel
060,Itabirito / MG,Leão do Vale - Cianorte / PR,26/04/2025,19:00,Castor Cifuentes / Nova Lima
061,Barra / SC,São Luiz / RS,26/04/2025,18:00,Arena Barra FC / Itajai
062,Guarany / RS,Marcílio Dias / SC,27/04/2025,16:00,Antônio Magalhães Russel / Bage
063,Azuriz / PR,Brasil / RS,26/04/2025,18:00,Os Pioneiros / Pato Branco
064,São José / RS,Joinville / SC,27/04/2025,18:00,Estádio do Vale / Novo Hamburgo
065,Manauara / AM,Tuna Luso / PA,03/05/2025,16:00,Ismael Benigno / Manaus
066,Aguia de Maraba / PA,Manaus / AM,03/05/2025,17:00,Zinho Oliveira / Maraba
