Game,Home,Away
001,Manauara / AM,Rio Branco / AC
002,Humaitá / AC,Porto Velho / RO
003,Princesa do Solimões / AM,São Raimundo / RR
004,Trem / AP,Manaus / AM
005,Fluminense / PI,Maranhão / MA
006,Moto Club / MA,Tocantinópolis / TO
007,Ríver / PI,Aguia de Maraba / PA
008,Cametá / PA,Altos / PI
009,Santa Cruz de Natal / RN,Treze / PB
010,Maracana / CE,América F.c. / RN
011,Sousa / PB,Iguatu / CE
012,Atlético / CE,Potiguar / RN
013,Sergipe / SE,ASA / AL
014,CSE / AL,Retrô / PE
015,Petrolina / PE,Jacuipense / BA
016,Juazeirense / BA,Itabaiana / SE
017,Ipora / GO,União de Rondonópolis / MT
018,Mixto / MT,Crac / GO
019,Capital / TO,Real Brasília / DF
020,Brasiliense / DF,Anápolis / GO
021,Portuguesa / RJ,Ipatinga / MG
022,Democrata / MG,Nova Iguaçu / RJ
023,Itabuna / BA,Real Noroeste / ES
024,Serra F.c. / ES,Audax Rio / RJ
025,São Jose / SP,Costa Rica / MS
026,Maringa / PR,Santo André / SP
027,Inter de Limeira / SP,Pouso Alegre / MG
028,Atlético Patrocinense / MG,Agua Santa / SP
029,Avenida / RS,Cascavel / PR
030,Barra / SC,Novo Hamburgo / RS
031,Leao do Vale - Cianorte / PR,Hercilio Luz / SC
032,Concordia Atlético Clube / SC,Brasil / RS
033,São Raimundo / RR,Manauara / AM
034,Porto Velho / RO,Trem / AP
035,Rio Branco / AC,Princesa do Solimões / AM
036,Manaus / AM,Humaitá / AC
037,Aguia de Maraba / PA,Fluminense / PI
038,Tocantinópolis / TO,Cametá / PA
039,Maranhão / MA,Ríver / PI
040,Altos / PI,Moto Club / MA
041,Iguatu / CE,Santa Cruz de Natal / RN
042,América F.c. / RN,Atlético / CE
043,Treze / PB,Sousa / PB
044,Potiguar / RN,Maracana / CE
045,Jacuipense / BA,Sergipe / SE
046,Retrô / PE,Juazeirense / BA
047,ASA / AL,Petrolina / PE
048,Itabaiana / SE,CSE / AL
049,Real Brasília / DF,Ipora / GO
050,Crac / GO,Brasiliense / DF
051,União de Rondonópolis / MT,Capital / TO
052,Anápolis / GO,Mixto / MT
053,Real Noroeste / ES,Portuguesa / RJ
054,Nova Iguaçu / RJ,Serra F.c. / ES
055,Ipatinga / MG,Itabuna / BA
056,Audax Rio / RJ,Democrata / MG
057,Pouso Alegre / MG,São Jose / SP
058,Santo André / SP,Atlético Patrocinense / MG
059,Costa Rica / MS,Inter de Limeira / SP
060,Agua Santa / SP,Maringa / PR
063,Cascavel / PR,Leao do Vale - Cianorte / PR
